,Unnamed: 0,Institution Name,Country,Academic Reputation_SCORE,Employer Reputation_SCORE,Citations per Faculty_SCORE,Faculty Student_SCORE,Unnamed: 0,keywords
0,0,Massachusetts Institute of Technology (MIT),United States,100,100,99.8,100,Massachusetts Institute of Technology (MIT),"mit,independent,coeducational,privately,endowed,university,organized,five,school,architecture,planning,engineering,humanity,art,social,science,management,science,yet,principle,educational,innovation,remains,core,mit,’,educational,philosophy,mit,researcher,forefront,development,artificial,intelligence,climate,adaptation,hiv,cancer,poverty,alleviation,past,mit,research,fuelled,scientific,breakthrough,development,radar,invention,magnetic,core,memory,concept,expanding,universe,edge,campus,merges,various,cambridge,neighborhood,including,kendall,square,one,innovative,square,mile,planet,close,association,industry,research,helped,mit,alumnus,go,launch,30000,active,company,creating,46,million,job,generating,roughly,19,trillion,annual,revenue,wonder,nation,mit,graduate,would,equivalent,10thlargest,economy,world"
1,1,Stanford University,United States,100,100,98.6,100,Stanford University,"stanford,university,heart,northern,california,’,dynamic,silicon,valley,home,yahoo,google,hewlettpackard,many,cuttingedge,tech,company,founded,continue,led,stanford,alumnus,faculty,nicknamed,“,billionaire,factory,”,said,stanford,graduate,formed,country,would,boast,one,world,’,largest,ten,economy,covering,8180,acre,stanford,one,largest,university,campus,u,18,interdisciplinary,research,institute,seven,school,graduate,school,business,school,earth,energy,environmental,science,graduate,school,education,school,engineering,school,humanity,science,law,school,school,medicine,fast,forward,century,stanford,count,19,nobel,laureate,within,community,regularly,ranked,among,top,three,university,world,nicknamed,“,farm,”,day,horse,roamed,stanford,’,campus,thriving,community,11000,creative,accomplished,people,around,world,nearly,undergraduate,60,per,cent,graduate,student,live,campus,hardly,surprising,student,life,rich,diverse,625,organized,student,group"
2,2,Harvard University,United States,100,100,99.6,98.7,Harvard University,"harvard,oldest,higher,education,institution,united,state,widely,regarded,term,influence,reputation,academic,pedigree,leading,university,u,also,world,also,home,largest,academic,library,system,world,18,million,volume,180000,serial,title,estimated,400,million,manuscript,item,10,million,photograph,freshman,student,live,one,dormitory,harvard,yard,prime,location,eat,historic,picturesque,annenberg,dining,hall,harvard,student,active,around,beyond,campus,400,official,student,society,including,extracurricular,cocurricular,athletic,opportunity,whether,playing,field,harvard,stadium,fostering,entrepreneurial,activity,harvard,innovation,lab,writing,editing,daily,newspaper,harvard,crimson,student,life,rich,rewarding,experience,university,regularly,ranked,number,one,world,consistency,charttopping,performance,show,success,yet,breed,complacency"
3,3,University of Oxford,United Kingdom,100,100,84.7,100,University of Oxford,"university,oxford,oldest,university,englishspeaking,world,actually,ancient,founding,date,unknown,–,though,thought,teaching,took,place,early,11th,century,university,oxford,main,campus,building,facility,instead,scattered,around,medieval,city,center,college,distinctive,character,tradition,often,dating,back,century,college,selfgoverning,institution,student,usually,apply,directly,four,academic,division,within,oxford,university,humanity,mathematical,physical,life,science,medical,science,social,science,university,’,particular,strength,science,ranked,number,one,world,medicineoxford,alumnus,network,250000,individual,including,120,olympic,medalist,26,nobel,prize,winner,seven,poet,laureate,30,modern,world,leader,including,bill,clinton,aung,san,suu,kyi,indira,ghandi,26,uk,prime,minister"
4,4,California Institute of Technology (Caltech),United States,97.8,81.2,100,100,California Institute of Technology (Caltech),"california,institute,technology,caltech,worldrenowned,science,engineering,research,education,institution,located,pasadena,california,around,11,mile,northeast,downtown,los,angeles,caltech,high,research,output,well,many,highquality,facility,jet,propulsion,laboratory,owned,nasa,caltech,seismological,laboratory,international,observatory,network,’,among,small,group,institute,technology,united,state,primarily,devoted,teaching,technical,art,applied,science,fiercely,competitive,admission,process,ensures,small,number,gifted,student,admittedcaltech,also,offer,excellent,opportunity,study,performance,music,theater,visual,art,activity,play,vital,role,realizing,caltech,’,mission,role,realizing,institute,mission,educating,outstanding,student,become,creative,member,society,providing,touch,grandeur,athenaeum,stately,building,center,campus,member,go,formal,informal,dining,meeting,rendezvous,private,party,balance,caltech,rigorous,academic,curriculum,activity,promote,personal,development,ensures,time,spent,student,formative,invaluable,staging,post,successful,career,although,may,lack,reputation,ivy,league,university,like,oxford,cambridge,caltech,undoubtedly,one,best,university,world,fact,reflected,university,ranking,regularly,single,technology,engineering,school,’,key,academic,strength"
5,5,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,98.4,96.7,98.4,85,ETH Zurich (Swiss Federal Institute of Technology),"eth,zurich,one,world,leading,university,science,technology,known,cuttingedge,research,innovation,established,1855,swiss,federal,polytechnic,school,century,half,later,university,count,21,nobel,laureate,2,field,medalist,2,pritzker,prize,winner,1,turing,award,winner,alumnus,including,great,albert,einstein,education,eth,zurich,combine,solid,theory,practical,application,degree,program,build,strong,mathematical,foundation,undergraduate,main,teaching,language,german,master,program,doctoral,study,english"
6,6,University of Cambridge,United Kingdom,100,100,74.2,100,University of Cambridge,"university,cambridge,collegiate,public,research,institution,serf,18000,student,corner,globe,university,cambridge,’,800year,history,make,fourtholdest,university,world,secondoldest,university,englishspeaking,world,cambridge,student,make,20,percent,town,population,older,college,situated,near,city,center,notable,building,give,city,cambridge,unique,character,include,king,college,chapel,history,faculty,building,designed,james,stirling,cripps,building,st,john,college,reputation,academic,excellence,traditional,scholarly,value,university,cambridge,often,rank,among,top,university,world,teaching,research,international,outlook,university,educated,eminent,mathematician,scientist,politician,lawyer,philosopher,writer,actor,head,state,ninetyeight,nobel,laureate,15,british,prime,minister,affiliation,cambridge,student,faculty,alumnus,including,scientist,francis,crick,frederick,sanger"
7,7,UCL (University College London),United Kingdom,99.3,98.7,76.7,98.1,UCL (University College London),"ucl,diverse,community,freedom,challenge,question,think,differently,community,pursues,academic,excellence,break,boundary,make,positive,impact,real,world,problemsat,heart,ucl,’,mission,research,rated,top,university,uk,research,strength,last,research,excellence,framework,ref,2014,offer,675,postgraduate,taught,research,initial,teacher,education,programme,across,wide,range,discipline,encourage,community,work,across,traditional,subject,boundary,ucls,researchbased,teaching,methodology,mean,research,integrated,many,degree,student,opportunity,make,original,contribution,field,study,ucl,know,student,choose,enter,graduate,study,myriad,reason,deeply,committed,supporting,student,’,aspiration,enhancing,skill,employability,ucl,career,help,student,find,perfect,career,develop,professional,skill,start,business,onetoone,guidance,event,well,variety,career,information,recruitment,networking,event,help,student,improve,knowledge,particular,industry,sector,specific,employer,student,interested,starting,business,ucl,innovation,enterprise,give,expert,advice,practical,support,well,networking,opportunity"
8,8,Imperial College London,United Kingdom,98.6,99.9,72.1,99.8,Imperial College London,"ranked,8th,world,q,world,university,rankings®,2021,imperial,college,london,oneofakind,institution,uk,focusing,solely,science,engineering,medicine,business,imperial,offer,education,researchled,exposing,real,world,challenge,easy,answer,teaching,open,everything,question,opportunity,work,across,multicultural,multinational,team,one,distinctive,element,imperial,education,student,join,community,worldclass,researcher,cutting,edge,globally,influential,nature,research,imperial,best,known,’,focus,practical,application,research,–,particularly,addressing,global,challenge,–,high,level,interdisciplinary,collaboration,make,research,effective"
9,9,University of Chicago,United States,99.5,93.7,78.5,96.5,University of Chicago,"university,chicago,private,research,university,based,urban,center,chicago,third,populous,city,united,state,outside,ivy,league,chicago,one,america,’,top,university,hold,topten,position,various,national,international,ranking,beyond,art,science,chicago,glowing,reputation,professional,school,including,pritzker,school,medicine,booth,school,business,harris,school,public,policy,study,university,chicago,alumnus,responsible,development,many,academic,discipline,sociology,economics,law,literary,criticism"
